"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","null_votes","blanco_votes","total_votes","valid_votes","valid_votes2","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","national_winner","votes_national_winner"
"Mongolia","MNG","Czechia","CZE",2010-05-28,"Legislative",20,NA,NA,17,17,17,NA,7,"TOP 09",3,"Obcanska demokraticka strana",3,"Veci verejne",2,"Strana zelenych",1,"Krest.demokr.unie-Cs.str.lid.",1,"Suverenita-blok J.Bobosikove",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Mexico","MEX","Czechia","CZE",2010-05-28,"Legislative",46,NA,NA,26,25,25,NA,12,"TOP 09",6,"Obcanska demokraticka strana",4,"Strana zelenych",1,"Veci verejne",1,"Strana Prav Obcanu ZEMANOVCI",1,"Krest.demokr.unie-Cs.str.lid.",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Malaysia","MYS","Czechia","CZE",2010-05-28,"Legislative",21,NA,NA,14,14,14,NA,5,"Obcanska demokraticka strana",4,"TOP 09",2,"Veci verejne",2,"Strana zelenych",1,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Nigeria","NGA","Czechia","CZE",2010-05-28,"Legislative",12,NA,NA,11,11,11,NA,7,"Obcanska demokraticka strana",2,"TOP 09",1,"Veci verejne",1,"Strana Prav Obcanu ZEMANOVCI",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Netherlands","NLD","Czechia","CZE",2010-05-28,"Legislative",255,NA,NA,223,222,222,NA,106,"TOP 09",60,"Obcanska demokraticka strana",25,"Strana zelenych",15,"Veci verejne",8,"Ceska str.socialne demokrat.",5,"Krest.demokr.unie-Cs.str.lid.",1,"Strana Prav Obcanu ZEMANOVCI",1,"Strana svobodnych obcanu",1,"Delnic.str.socialni spravedl.",0,"Komunisticka str.Cech a Moravy",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",8
"Norway","NOR","Czechia","CZE",2010-05-28,"Legislative",136,NA,NA,106,105,105,NA,43,"TOP 09",22,"Obcanska demokraticka strana",17,"Strana zelenych",5,"Veci verejne",5,"Komunisticka str.Cech a Moravy",3,"Strana Prav Obcanu ZEMANOVCI",2,"Ceska str.socialne demokrat.",2,"Krest.demokr.unie-Cs.str.lid.",2,"Suverenita-blok J.Bobosikove",2,"Strana svobodnych obcanu",1,"Ceska piratska strana",1,"Delnic.str.socialni spravedl.",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Peru","PER","Czechia","CZE",2010-05-28,"Legislative",37,NA,NA,28,28,28,NA,14,"TOP 09",6,"Obcanska demokraticka strana",3,"Ceska str.socialne demokrat.",3,"Strana zelenych",2,"Krest.demokr.unie-Cs.str.lid.",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Philippines","PHL","Czechia","CZE",2010-05-28,"Legislative",18,NA,NA,15,15,15,NA,6,"Obcanska demokraticka strana",5,"TOP 09",2,"Strana zelenych",1,"Veci verejne",1,"Krest.demokr.unie-Cs.str.lid.",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Pakistan","PAK","Czechia","CZE",2010-05-28,"Legislative",10,NA,NA,8,8,8,NA,5,"TOP 09",1,"Obcanska demokraticka strana",1,"Veci verejne",1,"Strana Prav Obcanu ZEMANOVCI",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Poland","POL","Czechia","CZE",2010-05-28,"Legislative",75,NA,NA,63,63,63,NA,22,"Obcanska demokraticka strana",18,"TOP 09",7,"Ceska str.socialne demokrat.",6,"Strana zelenych",4,"Strana Prav Obcanu ZEMANOVCI",3,"Veci verejne",1,"Komunisticka str.Cech a Moravy",1,"Krest.demokr.unie-Cs.str.lid.",1,"STOP",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",7
"Portugal","PRT","Czechia","CZE",2010-05-28,"Legislative",79,NA,NA,67,66,66,NA,33,"TOP 09",21,"Obcanska demokraticka strana",4,"Krest.demokr.unie-Cs.str.lid.",3,"Strana zelenych",2,"Veci verejne",1,"Strana Prav Obcanu ZEMANOVCI",1,"Strana svobodnych obcanu",1,"Delnic.str.socialni spravedl.",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Romania","ROU","Czechia","CZE",2010-05-28,"Legislative",47,NA,NA,45,45,45,NA,20,"TOP 09",9,"Obcanska demokraticka strana",5,"Ceska str.socialne demokrat.",4,"Strana Prav Obcanu ZEMANOVCI",4,"Strana zelenych",2,"Veci verejne",1,"Suverenita-blok J.Bobosikove",0,"Komunisticka str.Cech a Moravy",0,"Krest.demokr.unie-Cs.str.lid.",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Serbia","SRB","Czechia","CZE",2010-05-28,"Legislative",108,NA,NA,67,64,64,NA,23,"Obcanska demokraticka strana",16,"TOP 09",8,"Ceska str.socialne demokrat.",6,"Strana zelenych",3,"Strana Prav Obcanu ZEMANOVCI",2,"Komunisticka str.Cech a Moravy",2,"OBCANE.CZ",1,"Veci verejne",1,"Krest.demokr.unie-Cs.str.lid.",1,"Suverenita-blok J.Bobosikove",1,"Strana svobodnych obcanu",0,"Volte Pr.Blok www.cibulka.net",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",8
"Russia","RUS","Czechia","CZE",2010-05-28,"Legislative",224,NA,NA,184,183,183,NA,62,"TOP 09",50,"Obcanska demokraticka strana",27,"Ceska str.socialne demokrat.",10,"Strana zelenych",10,"Krest.demokr.unie-Cs.str.lid.",8,"Veci verejne",8,"Komunisticka str.Cech a Moravy",4,"Strana svobodnych obcanu",2,"Strana Prav Obcanu ZEMANOVCI",2,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",27
"Saudi Arabia","SAU","Czechia","CZE",2010-05-28,"Legislative",12,NA,NA,9,9,9,NA,4,"Ceska str.socialne demokrat.",3,"TOP 09",1,"Veci verejne",1,"Krest.demokr.unie-Cs.str.lid.",0,"Obcanska demokraticka strana",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana zelenych",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Sweden","SWE","Czechia","CZE",2010-05-28,"Legislative",159,NA,NA,141,141,141,NA,63,"TOP 09",26,"Obcanska demokraticka strana",23,"Strana zelenych",11,"Veci verejne",6,"Krest.demokr.unie-Cs.str.lid.",5,"Strana Prav Obcanu ZEMANOVCI",3,"Ceska str.socialne demokrat.",1,"Komunisticka str.Cech a Moravy",1,"Strana svobodnych obcanu",1,"Ceska piratska strana",1,"Delnic.str.socialni spravedl.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Slovenia","SVN","Czechia","CZE",2010-05-28,"Legislative",36,NA,NA,36,36,36,NA,13,"TOP 09",12,"Obcanska demokraticka strana",7,"Strana zelenych",2,"Veci verejne",1,"Strana Prav Obcanu ZEMANOVCI",1,"Krest.demokr.unie-Cs.str.lid.",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Slovakia","SVK","Czechia","CZE",2010-05-28,"Legislative",668,NA,NA,430,427,427,NA,152,"TOP 09",113,"Obcanska demokraticka strana",42,"Ceska str.socialne demokrat.",42,"Komunisticka str.Cech a Moravy",25,"Veci verejne",19,"Strana zelenych",19,"Krest.demokr.unie-Cs.str.lid.",10,"Strana Prav Obcanu ZEMANOVCI",2,"Strana svobodnych obcanu",1,"Suverenita-blok J.Bobosikove",1,"Konzervativni strana",1,"Ceska piratska strana",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",42
"Syria","SYR","Czechia","CZE",2010-05-28,"Legislative",21,NA,NA,19,19,19,NA,7,"Obcanska demokraticka strana",5,"TOP 09",3,"Veci verejne",2,"Strana zelenych",1,"Ceska str.socialne demokrat.",1,"Strana svobodnych obcanu",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Thailand","THA","Czechia","CZE",2010-05-28,"Legislative",33,NA,NA,25,25,25,NA,14,"Obcanska demokraticka strana",3,"TOP 09",3,"Strana zelenych",2,"Veci verejne",1,"Ceska str.socialne demokrat.",1,"Strana Prav Obcanu ZEMANOVCI",1,"Strana svobodnych obcanu",0,"Komunisticka str.Cech a Moravy",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Tunisia","TUN","Czechia","CZE",2010-05-28,"Legislative",32,NA,NA,31,31,31,NA,12,"TOP 09",7,"Obcanska demokraticka strana",4,"Ceska str.socialne demokrat.",4,"Veci verejne",3,"Strana zelenych",1,"Strana Prav Obcanu ZEMANOVCI",0,"Komunisticka str.Cech a Moravy",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Turkey","TUR","Czechia","CZE",2010-05-28,"Legislative",80,NA,NA,73,73,73,NA,30,"TOP 09",16,"Obcanska demokraticka strana",11,"Strana zelenych",7,"Ceska str.socialne demokrat.",5,"Veci verejne",1,"Strana Prav Obcanu ZEMANOVCI",1,"Krest.demokr.unie-Cs.str.lid.",1,"Ceska piratska strana",1,"Delnic.str.socialni spravedl.",0,"Komunisticka str.Cech a Moravy",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",7
"Ukraine","UKR","Czechia","CZE",2010-05-28,"Legislative",90,NA,NA,82,82,82,NA,36,"TOP 09",16,"Obcanska demokraticka strana",8,"Ceska str.socialne demokrat.",6,"Veci verejne",6,"Strana Prav Obcanu ZEMANOVCI",2,"Strana zelenych",2,"Krest.demokr.unie-Cs.str.lid.",2,"Ceska piratska strana",1,"Komunisticka str.Cech a Moravy",1,"Suverenita-blok J.Bobosikove",1,"OBCANE.CZ",1,"Delnic.str.socialni spravedl.",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",8
"US","USA","Czechia","CZE",2010-05-28,"Legislative",814,NA,NA,489,488,488,NA,218,"TOP 09",143,"Obcanska demokraticka strana",57,"Strana zelenych",19,"Krest.demokr.unie-Cs.str.lid.",13,"Ceska str.socialne demokrat.",13,"Veci verejne",8,"Strana svobodnych obcanu",5,"Strana Prav Obcanu ZEMANOVCI",4,"Komunisticka str.Cech a Moravy",3,"Suverenita-blok J.Bobosikove",2,"OBCANE.CZ",2,"Konzervativni strana",1,"Delnic.str.socialni spravedl.",0,"Volte Pr.Blok www.cibulka.net",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",13
"Uzbekistan","UZB","Czechia","CZE",2010-05-28,"Legislative",17,NA,NA,14,14,14,NA,7,"TOP 09",3,"Ceska str.socialne demokrat.",2,"Obcanska demokraticka strana",1,"Veci verejne",1,"Krest.demokr.unie-Cs.str.lid.",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana zelenych",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Vatican City","VAT","Czechia","CZE",2010-05-28,"Legislative",3,NA,NA,3,3,3,NA,3,"Krest.demokr.unie-Cs.str.lid.",0,"Ceska str.socialne demokrat.",0,"TOP 09",0,"Obcanska demokraticka strana",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana zelenych",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Venezuela","VEN","Czechia","CZE",2010-05-28,"Legislative",102,NA,NA,35,35,35,NA,9,"Obcanska demokraticka strana",8,"Krest.demokr.unie-Cs.str.lid.",6,"TOP 09",5,"Ceska str.socialne demokrat.",5,"Strana zelenych",1,"Veci verejne",1,"Delnic.str.socialni spravedl.",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Vietnam","VNM","Czechia","CZE",2010-05-28,"Legislative",21,NA,NA,18,18,18,NA,7,"TOP 09",4,"Obcanska demokraticka strana",3,"Ceska str.socialne demokrat.",1,"Veci verejne",1,"Strana zelenych",1,"Krest.demokr.unie-Cs.str.lid.",1,"Suverenita-blok J.Bobosikove",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Yemen","YEM","Czechia","CZE",2010-05-28,"Legislative",7,NA,NA,3,3,3,NA,2,"Strana Prav Obcanu ZEMANOVCI",1,"TOP 09",0,"Ceska str.socialne demokrat.",0,"Obcanska demokraticka strana",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"South Africa","ZAF","Czechia","CZE",2010-05-28,"Legislative",77,NA,NA,33,32,32,NA,13,"TOP 09",12,"Obcanska demokraticka strana",2,"Krest.demokr.unie-Cs.str.lid.",1,"Veci verejne",1,"Komunisticka str.Cech a Moravy",1,"Strana zelenych",1,"Volte Pr.Blok www.cibulka.net",1,"Strana svobodnych obcanu",0,"Ceska str.socialne demokrat.",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suverenita-blok J.Bobosikove",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Zimbabwe","ZWE","Czechia","CZE",2010-05-28,"Legislative",17,NA,NA,9,9,9,NA,8,"TOP 09",1,"Ceska str.socialne demokrat.",0,"Obcanska demokraticka strana",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"United Arab Emirates","ARE","Czechia","CZE",2018-01-12,"Presidential",112,NA,NA,76,76,76,NA,33,"Jiri Drahos",12,"Pavel Fischer",11,"Michal Horacek",8,"Marek Hilser",7,"Milos Zeman",4,"Jiri Hynek",1,"Mirek Topolanek",0,"Vratislav Kulhanek",0,"Petr Hannig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Milos Zeman",7
"Afghanistan","AFG","Czechia","CZE",2018-01-12,"Presidential",184,NA,NA,178,177,177,NA,65,"Milos Zeman",37,"Jiri Drahos",26,"Pavel Fischer",17,"Jiri Hynek",13,"Marek Hilser",9,"Michal Horacek",6,"Mirek Topolanek",3,"Petr Hannig",1,"Vratislav Kulhanek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Milos Zeman",65
"Albania","ALB","Czechia","CZE",2018-01-12,"Presidential",20,NA,NA,15,15,15,NA,4,"Jiri Drahos",3,"Mirek Topolanek",3,"Pavel Fischer",2,"Milos Zeman",2,"Marek Hilser",1,"Michal Horacek",0,"Jiri Hynek",0,"Vratislav Kulhanek",0,"Petr Hannig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Milos Zeman",2
